"corporate.payment...2.";"corporate.payment...4."
2010-01-02;36.08
2010-01-02;77.8
2010-01-02;34.97
2010-01-02;59
2010-01-02;59.56
2010-01-02;50.38
2010-01-02;26.57
2010-01-02;102.17
2010-01-02;25.19
2010-01-02;37.31
2010-01-02;74.17
2010-01-02;55.22
2010-01-02;40.55
2010-01-02;41.79
2010-01-02;55.29
2010-01-02;63.66
2010-01-02;71.41
2010-01-02;49
2010-01-02;94.29
2010-01-02;28.34
2010-01-02;28.09
2010-01-02;46.64
2010-01-02;49.91
2010-01-02;34.22
2010-01-02;32.12
2010-01-02;75.98
2010-01-02;68.41
2010-01-02;25.86
2010-01-02;90.17
2010-01-02;38.68
2010-01-02;42.56
2010-01-02;142.22
2010-01-02;27.83
2010-01-02;94.72
2010-01-02;430.15
2010-01-02;1966.98
2010-01-03;8186.22
2010-01-03;8378.22
2010-01-04;18469.21
2010-01-04;403.36
2010-01-05;12712.43
2010-01-05;147.8
2010-01-06;7512.55
2010-01-06;10239.22
2010-01-06;10287.8
2010-01-06;10969.46
2010-01-06;7641.42
2010-01-06;1917.15
2010-01-06;2044.96
2010-01-06;932.91
2010-01-06;145.58
2010-01-06;98.19
2010-01-07;7529.28
2010-01-07;1166.29
2010-01-07;41.42
2010-01-07;31.01
2010-01-07;62.15
2010-01-07;46.73
2010-01-07;32.23
2010-01-08;9919.25
2010-01-08;10870.42
2010-01-08;806.2
2010-01-08;767.75
2010-01-08;806.66
2010-01-08;1171.45
2010-01-08;26.49
2010-01-08;32.71
2010-01-08;38
2010-01-08;180.52
2010-01-08;44.05
2010-01-08;75.7
2010-01-08;33.91
2010-01-08;50.42
2010-01-08;40.45
2010-01-08;81.07
2010-01-08;43.86
2010-01-08;51.33
2010-01-08;153
2010-01-08;69.59
2010-01-08;38.54
2010-01-08;73.9
2010-01-08;64.67
2010-01-08;44.17
2010-01-08;56.62
2010-01-08;33
2010-01-08;32.16
2010-01-08;34.36
2010-01-08;27.91
2010-01-08;52.16
2010-01-08;32.48
2010-01-08;54.41
2010-01-08;26.24
2010-01-08;87.64
2010-01-08;38
2010-01-08;61.66
2010-01-08;49.63
2010-01-08;82
2010-01-08;139.43
2010-01-08;43.77
2010-01-08;30.3
2010-01-08;29.69
2010-01-08;41.52
2010-01-08;99.66
2010-01-08;113.34
2010-01-08;166.68
2010-01-08;67.71
2010-01-08;57.76
2010-01-08;117.22
2010-01-08;27.26
2010-01-08;25.51
2010-01-08;49.07
2010-01-08;63.63
2010-01-08;50.8
2010-01-08;83.67
2010-01-08;38.45
2010-01-08;40.53
2010-01-08;42.57
2010-01-08;47.48
2010-01-08;32.25
2010-01-08;53.52
2010-01-08;40.06
2010-01-08;36.3
2010-01-08;82.79
2010-01-08;66.59
2010-01-08;28.59
2010-01-08;65.3
2010-01-08;133.53
2010-01-08;49.7
2010-01-08;127.47
2010-01-08;49.27
2010-01-08;114.78
2010-01-08;41.67
2010-01-09;126.3
2010-01-09;31.72
2010-01-09;102.16
2010-01-09;40.94
2010-01-09;42.56
2010-01-09;25.18
2010-01-09;46.85
2010-01-09;29.1
2010-01-09;34.12
2010-01-09;25.55
2010-01-09;56.31
2010-01-09;66.1
2010-01-09;76.9
